FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	StimuliName
0	0	1169	529	514	ScreenRec
1	1169	179	337	507	ScreenRec
2	1348	279	634	514	ScreenRec
3	1628	777	562	508	ScreenRec
4	2405	259	738	592	ScreenRec
5	2664	459	549	517	ScreenRec
6	3123	219	724	601	ScreenRec
7	3342	379	583	538	ScreenRec
8	3721	798	616	394	ScreenRec
9	4519	199	303	380	ScreenRec
10	4718	140	606	464	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
11	4858	179	459	412	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
12	5037	219	743	389	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
13	5256	199	765	235	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
14	5455	299	607	179	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
15	5755	159	505	185	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
16	5914	140	398	427	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
17	6054	299	441	423	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
18	6353	379	758	440	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
19	6731	219	766	629	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
20	6951	359	660	196	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
21	7310	299	379	338	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
22	7609	199	665	409	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
23	7808	279	587	444	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
24	8087	239	745	440	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
25	8326	180	754	266	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
26	8506	299	610	167	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
27	8805	199	414	467	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
28	9004	179	498	439	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
29	9184	160	262	460	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
30	9343	598	267	527	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
31	9941	219	699	575	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
32	10161	219	873	586	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
33	10380	219	802	417	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
34	10599	259	855	622	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
35	10858	259	906	646	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
36	11118	279	778	402	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
37	11397	179	702	411	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
38	11576	718	554	218	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
39	12294	558	799	197	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
40	12852	239	1038	65	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
41	13091	239	990	64	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
42	13331	219	207	47	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
43	13550	219	172	52	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
44	13769	239	252	50	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
45	14009	319	333	47	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
46	14327	199	670	664	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
47	14527	239	867	936	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
48	14766	239	781	904	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
49	15005	279	846	567	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
50	15285	179	862	632	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
51	15464	199	757	434	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
52	15663	459	959	931	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
53	16122	219	669	913	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
54	16341	120	780	916	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
