FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	StimuliName
0	0	269	603	529	ScreenRec
1	269	359	584	481	ScreenRec
2	628	199	633	481	ScreenRec
3	827	458	551	471	ScreenRec
4	1286	219	609	487	ScreenRec
5	1505	159	647	485	ScreenRec
6	1804	199	620	467	ScreenRec
7	2003	1037	562	464	ScreenRec
8	3040	219	794	843	ScreenRec
9	3259	180	786	988	ScreenRec
10	3439	399	414	990	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.avg.com/us-en/index.html
11	3838	179	820	616	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.avg.com/us-en/index.html
12	4017	120	802	676	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.avg.com/us-en/index.html
13	4137	219	586	263	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.avg.com/us-en/index.html
14	4356	199	622	114	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.avg.com/us-en/index.html
15	4555	219	775	127	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.avg.com/us-en/index.html
16	4775	558	309	204	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.avg.com/us-en/index.html
17	5333	339	418	484	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.avg.com/us-en/index.html
18	5672	359	323	476	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.avg.com/us-en/index.html
19	6031	199	236	513	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.avg.com/us-en/index.html
20	6230	239	624	271	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.avg.com/us-en/index.html
21	6469	279	621	233	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.avg.com/us-en/index.html
22	6748	199	555	139	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.avg.com/us-en/index.html
23	6948	199	735	128	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.avg.com/us-en/index.html
24	7147	199	342	92	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.avg.com/us-en/index.html
25	7346	319	282	197	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.avg.com/us-en/index.html
26	7665	179	409	564	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.avg.com/us-en/index.html
27	7845	140	533	483	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.avg.com/us-en/index.html
28	7984	199	638	478	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.avg.com/us-en/index.html
29	8184	518	682	479	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.avg.com/us-en/index.html
