FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	StimuliName
0	0	302	697	434	ScreenRec
1	302	578	565	450	ScreenRec
2	880	797	624	445	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.apple.com/
3	1678	239	607	111	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.apple.com/
4	1917	398	744	288	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.apple.com/
5	2315	299	826	287	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.apple.com/
6	2615	179	800	759	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.apple.com/
7	2794	199	722	729	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.apple.com/
8	2993	319	489	733	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.apple.com/
9	3312	319	639	391	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.apple.com/
10	3631	140	665	319	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.apple.com/
11	3771	179	449	256	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.apple.com/
12	3950	180	348	261	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.apple.com/
13	4130	339	809	284	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.apple.com/
14	4469	359	870	513	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.apple.com/
15	4828	279	754	370	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.apple.com/
16	5107	219	748	622	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.apple.com/
17	5326	339	754	737	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.apple.com/
18	5665	359	843	412	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.apple.com/
19	6024	279	716	55	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.apple.com/
20	6303	339	348	298	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.apple.com/
21	6642	180	451	260	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.apple.com/
22	6821	259	388	327	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.apple.com/
23	7080	498	707	759	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.apple.com/
24	7579	239	704	929	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.apple.com/
25	7818	499	528	753	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.apple.com/
26	8317	378	519	793	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.apple.com/
27	8695	718	992	743	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.apple.com/
28	9413	179	300	751	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.apple.com/
29	9592	1037	253	735	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.apple.com/
30	10629	379	249	852	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.apple.com/
31	11008	419	1014	809	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.apple.com/
