FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	StimuliName
0	0	332	643	473	ScreenRec
1	332	921	547	472	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
2	1253	339	531	256	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
3	1592	279	347	178	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
4	1871	199	548	305	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
5	2071	219	402	295	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
6	2290	259	642	294	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
7	2549	259	695	299	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
8	2808	319	569	200	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
9	3127	379	265	447	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
10	3506	239	227	331	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
11	3745	419	260	182	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
12	4164	299	240	61	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
13	4463	219	279	101	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
14	4682	518	230	104	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
15	5201	179	395	122	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
16	5380	299	346	100	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
17	5679	200	721	244	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
18	5879	119	694	304	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
19	6138	199	785	316	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
20	6337	199	805	176	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
21	6656	439	461	558	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
22	7095	399	199	567	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
23	7493	259	540	582	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
24	7753	219	428	558	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
25	7972	299	957	495	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
26	8271	259	901	368	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
27	8530	219	856	319	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
28	8750	478	821	194	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
