FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	StimuliName
0	0	40	650	428	No media
1	40	199	542	540	ScreenRec
2	239	239	600	473	ScreenRec
3	478	180	548	475	ScreenRec
4	658	359	662	477	ScreenRec
5	1017	159	572	469	ScreenRec
6	1176	279	520	520	ScreenRec
7	1455	239	637	928	ScreenRec
8	1694	259	629	968	ScreenRec
9	1954	259	547	992	ScreenRec
10	2213	419	631	999	ScreenRec
11	2631	259	547	994	ScreenRec
12	2891	199	519	369	ScreenRec
13	3090	598	513	104	ScreenRec
14	3688	359	606	509	ScreenRec
15	4047	498	763	746	ScreenRec
16	4545	119	435	88	ScreenRec
17	4665	219	79	39	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
18	4884	239	393	29	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
19	5123	199	307	23	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
20	5323	279	657	18	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
21	5602	379	851	30	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
22	5981	139	654	418	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
23	6120	199	403	483	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
24	6320	199	373	345	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
25	6519	159	424	366	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
26	6679	140	400	626	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
27	6818	160	659	818	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
28	6978	199	752	776	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
29	7177	279	970	772	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
30	7456	219	793	796	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
31	7675	179	854	799	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
32	7855	160	918	805	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
33	8014	259	412	540	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
34	8274	239	448	410	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
35	8513	259	308	609	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
36	8772	200	458	776	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
37	8972	139	540	805	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
38	9111	219	770	885	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
39	9330	219	728	977	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
40	9550	259	939	1006	ScreenRec
