FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	StimuliName
0	0	238	696	484	ScreenRec
1	238	239	591	488	ScreenRec
2	477	319	981	511	ScreenRec
3	796	239	619	337	ScreenRec
4	1035	439	580	196	ScreenRec
5	1474	199	576	539	ScreenRec
6	1673	399	523	529	ScreenRec
7	2072	263	748	285	ScreenRec
8	2335	514	1192	44	ScreenRec
9	2850	259	687	504	ScreenRec
10	3109	120	477	621	ScreenRec
11	3228	279	635	363	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.babylon.com/
12	3507	179	577	133	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.babylon.com/
13	3687	259	397	131	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.babylon.com/
14	3946	159	453	116	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.babylon.com/
15	4105	159	270	13	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.babylon.com/
16	4265	339	226	21	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.babylon.com/
17	4604	319	663	366	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.babylon.com/
18	4923	179	582	166	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.babylon.com/
19	5102	239	535	110	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.babylon.com/
20	5342	179	804	124	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.babylon.com/
21	5521	219	717	410	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.babylon.com/
22	5740	339	756	422	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.babylon.com/
23	6079	239	754	764	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.babylon.com/
24	6318	399	733	695	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.babylon.com/
25	6717	199	675	715	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.babylon.com/
26	6917	159	408	705	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.babylon.com/
27	7076	339	330	705	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.babylon.com/
28	7415	219	370	280	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.babylon.com/
29	7634	199	334	212	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.babylon.com/
30	7834	199	331	137	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.babylon.com/
