FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	StimuliName
65	21257	499	953	788	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.avg.com/us-en/index.html
66	21756	399	1001	770	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.avg.com/us-en/index.html
67	22155	937	963	769	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.avg.com/us-en/index.html
68	23091	359	1004	804	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.avg.com/us-en/index.html
69	23450	160	963	695	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.avg.com/us-en/index.html
70	23610	319	939	648	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.avg.com/us-en/index.html
71	23929	219	765	660	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.avg.com/us-en/index.html
72	24148	219	768	757	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.avg.com/us-en/index.html
73	24367	199	965	509	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.avg.com/us-en/index.html
74	24567	199	926	513	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.avg.com/us-en/index.html
75	24766	299	935	464	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.avg.com/us-en/index.html
76	25065	199	987	468	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.avg.com/us-en/index.html
77	25265	219	1048	462	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.avg.com/us-en/index.html
78	25484	518	931	489	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.avg.com/us-en/index.html
79	26002	160	860	485	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.avg.com/us-en/index.html
80	26162	219	626	453	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.avg.com/us-en/index.html
81	26381	658	676	443	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.avg.com/us-en/index.html
82	27039	120	732	441	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.avg.com/us-en/index.html
83	27159	200	433	429	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.avg.com/us-en/index.html
84	27358	219	357	439	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.avg.com/us-en/index.html
85	27577	678	684	439	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.avg.com/us-en/index.html
86	28255	179	443	446	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.avg.com/us-en/index.html
87	28435	837	369	437	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.avg.com/us-en/index.html
88	29272	618	435	428	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.avg.com/us-en/index.html
89	29890	638	318	452	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.avg.com/us-en/index.html
90	30528	239	383	462	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.avg.com/us-en/index.html
91	30767	319	426	464	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.avg.com/us-en/index.html
92	31086	399	275	440	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.avg.com/us-en/index.html
93	31485	239	317	435	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.avg.com/us-en/index.html
94	31724	279	368	378	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.avg.com/us-en/index.html
95	32003	279	326	381	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.avg.com/us-en/index.html
96	32282	279	340	432	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.avg.com/us-en/index.html
97	32562	299	455	434	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.avg.com/us-en/index.html
98	32861	219	540	441	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.avg.com/us-en/index.html
99	33080	558	252	466	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.avg.com/us-en/index.html
100	33638	200	528	518	ScreenRec
101	33838	179	655	342	ScreenRec
102	34017	160	333	282	ScreenRec
103	34177	578	59	380	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
104	34755	299	334	142	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
105	35054	160	530	204	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
106	35214	319	575	230	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
107	35533	219	415	293	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
108	35752	259	471	290	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
109	36011	180	558	297	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
110	36190	239	649	295	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
111	36430	119	699	297	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
112	36549	200	400	291	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
113	36749	239	880	459	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
114	36988	199	903	850	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
115	37187	319	888	796	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
116	37506	498	945	915	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
117	38004	199	676	256	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
118	38204	598	567	228	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
119	38802	498	560	193	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
120	39300	777	341	179	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
121	40078	200	271	335	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
122	40277	239	423	445	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
123	40517	299	404	407	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
124	40816	538	208	475	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
125	41354	439	215	250	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
126	41793	199	264	244	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
127	41992	140	217	266	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
128	42132	538	276	272	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
129	42670	140	661	618	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
130	42809	200	486	639	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
131	43009	399	399	649	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
132	43408	279	466	642	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
133	43687	279	537	654	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
134	43966	738	586	672	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
135	44703	578	407	696	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
136	45282	199	445	705	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
137	45481	239	418	736	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
138	45720	259	470	735	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
139	45979	319	416	750	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
140	46298	199	459	756	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
141	46498	279	528	753	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
142	46777	199	570	761	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
143	46976	199	610	770	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
144	47176	698	399	587	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
145	47873	180	460	607	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
146	48053	399	883	788	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
147	48452	319	833	862	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
148	48771	518	827	918	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
149	49289	379	410	877	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
150	49668	299	195	920	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
151	49967	239	222	954	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
152	50206	299	223	776	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
153	50505	319	923	526	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
154	50824	219	810	607	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
155	51043	518	815	253	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
156	51562	219	818	180	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
157	51781	159	489	532	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
158	51941	499	409	660	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
159	52439	319	452	646	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
160	52758	199	387	643	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
161	52957	498	415	527	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
162	53456	399	442	668	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
163	53855	2193	406	647	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
164	56048	279	466	631	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
165	56327	479	530	637	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
166	56805	239	584	632	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
167	57045	199	622	647	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
168	57244	180	552	630	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
169	57424	279	494	635	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
170	57702	818	573	631	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
171	58520	299	625	634	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
172	58819	1356	571	613	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
173	60175	419	542	586	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
174	60593	179	577	594	http://emine.ncc.metu.edu.tr/survey/web/pages/http/uk.yahoo.com/
